19:58:59.115720 IP 192.168.1.134.57802 > ec2-13-59-223-221.us-east-2.compute.amazonaws.com.https: Flags [P.], seq 3048695301:3048695336, ack 3330673866, win 2048, options [nop,nop,TS val 750564282 ecr 2988583442], length 35
19:58:59.151006 IP ec2-13-59-223-221.us-east-2.compute.amazonaws.com.https > 192.168.1.134.57802: Flags [.], ack 35, win 14, options [nop,nop,TS val 2988589485 ecr 750564282], length 0
19:58:59.240248 IP 192.168.1.134.60853 > ec2-34-194-201-2.compute-1.amazonaws.com.https: Flags [P.], seq 1682453573:1682453636, ack 661961127, win 2048, options [nop,nop,TS val 750564406 ecr 100470838], length 63
19:58:59.280978 IP ec2-34-194-201-2.compute-1.amazonaws.com.https > 192.168.1.134.60853: Flags [P.], seq 1:64, ack 63, win 12, options [nop,nop,TS val 100473372 ecr 750564406], length 63
19:58:59.281102 IP 192.168.1.134.60853 > ec2-34-194-201-2.compute-1.amazonaws.com.https: Flags [.], ack 64, win 2047, options [nop,nop,TS val 750564446 ecr 100473372], length 0
19:58:59.823355 STP 802.1d, Config, Flags [none], bridge-id 8000.2c:fd:a1:62:8f:80.8003, length 35
19:58:59.874607 IP 192.168.1.134.52542 > 173.194.162.199.https: UDP, length 737
19:58:59.888040 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 121
19:58:59.888986 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.888989 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.888991 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.888992 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.888992 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.888995 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.888996 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.888997 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.888998 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.888999 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.889094 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.889097 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.889098 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.889099 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.889100 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.889101 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.889263 IP 192.168.1.134.52542 > 173.194.162.199.https: UDP, length 29
19:58:59.890782 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.890785 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.890786 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.890787 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.890788 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.890790 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.890791 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.890792 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.890793 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.890794 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.890795 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.890796 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.890797 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.890798 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.890799 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.890800 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.890801 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.890802 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.890803 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.890804 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.890805 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.890842 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.890843 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.890844 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.890845 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.890846 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.891001 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.891004 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.891005 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.891006 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.891007 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.891008 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.891009 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.891039 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.891041 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.891042 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.891051 IP 192.168.1.134.52542 > 173.194.162.199.https: UDP, length 29
19:58:59.891200 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.891203 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.891204 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.891205 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.891206 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.891207 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.891242 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.891243 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.891244 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.891252 IP 192.168.1.134.52542 > 173.194.162.199.https: UDP, length 29
19:58:59.891304 IP 192.168.1.134.52542 > 173.194.162.199.https: UDP, length 29
19:58:59.891364 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.891449 IP 192.168.1.134.52542 > 173.194.162.199.https: UDP, length 29
19:58:59.891771 IP 192.168.1.134.52542 > 173.194.162.199.https: UDP, length 29
19:58:59.892893 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.892896 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.892897 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.892898 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.892899 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.892902 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.892902 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.892904 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.892905 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.892906 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.892907 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.892938 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.892939 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.892940 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.892941 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893037 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893039 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893040 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893041 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893042 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893133 IP 192.168.1.134.52542 > 173.194.162.199.https: UDP, length 29
19:58:59.893207 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893210 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893211 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893212 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893213 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893214 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893215 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893234 IP 192.168.1.134.52542 > 173.194.162.199.https: UDP, length 29
19:58:59.893274 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893276 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893277 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893278 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893279 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893374 IP 192.168.1.134.52542 > 173.194.162.199.https: UDP, length 29
19:58:59.893416 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893418 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893419 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893420 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893421 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893422 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893423 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893531 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893534 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893535 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893536 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893537 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893540 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893549 IP 192.168.1.134.52542 > 173.194.162.199.https: UDP, length 29
19:58:59.893683 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893686 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.893792 IP 192.168.1.134.52542 > 173.194.162.199.https: UDP, length 29
19:58:59.894457 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894459 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894460 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894462 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894462 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894465 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894467 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894468 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894468 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894470 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894543 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894545 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894546 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894546 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894548 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894637 IP 192.168.1.134.52542 > 173.194.162.199.https: UDP, length 29
19:58:59.894690 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894692 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894693 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894694 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894695 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894696 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894698 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894728 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894729 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894730 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894856 IP 192.168.1.134.52542 > 173.194.162.199.https: UDP, length 29
19:58:59.894911 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894913 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894914 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894915 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894916 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894917 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894918 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894919 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894920 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894954 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894957 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.894957 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.895133 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.895136 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.895139 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.895140 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.895141 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.895142 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.895144 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.895175 IP 192.168.1.134.52542 > 173.194.162.199.https: UDP, length 29
19:58:59.895259 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.895262 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.895264 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.895271 IP 192.168.1.134.52542 > 173.194.162.199.https: UDP, length 29
19:58:59.896064 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896067 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896068 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896069 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896070 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896074 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896075 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896077 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896078 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896168 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896171 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896172 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896174 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896175 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896183 IP 192.168.1.134.52542 > 173.194.162.199.https: UDP, length 29
19:58:59.896296 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896299 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896300 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896301 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896302 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896304 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896304 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896322 IP 192.168.1.134.52542 > 173.194.162.199.https: UDP, length 29
19:58:59.896382 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896385 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896386 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896387 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896447 IP 192.168.1.134.52542 > 173.194.162.199.https: UDP, length 29
19:58:59.896506 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896509 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896510 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896511 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896512 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896513 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896638 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896641 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896755 IP 192.168.1.134.52542 > 173.194.162.199.https: UDP, length 29
19:58:59.896833 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896836 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
19:58:59.896837 IP 173.194.162.199.https > 192.168.1.134.52542: UDP, length 1350
